Exporting 96.120.37.81...
1: 10.1.10.1 (6ms)  10.1.10.1 (4ms)  10.1.10.1 (4ms)
2: 96.120.37.81 (44ms)  *  96.120.37.81 (18ms)
source,destination,trace,ttl,query,query_result,addr,rtt,hop_mean_ms,hop_median_ms,city,country,country_code,country_code_iso3,country_capital,region,region_code,latitude,longitude,timezone,utc_offset,asn,org
10.1.10.58,66.208.233.242,b1a1540f-3661-4ce8-a90d-7bd8cc28955f,5,1,success,68.86.165.113,13,15,15,Okeechobee,United States,US,USA,Washington,Florida,FL,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,66.208.233.242,b1a1540f-3661-4ce8-a90d-7bd8cc28955f,5,2,success,68.86.165.113,15,15,15,Okeechobee,United States,US,USA,Washington,Florida,FL,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,66.208.233.242,b1a1540f-3661-4ce8-a90d-7bd8cc28955f,5,3,success,68.86.165.113,17,15,15,Okeechobee,United States,US,USA,Washington,Florida,FL,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,66.208.233.242,b1a1540f-3661-4ce8-a90d-7bd8cc28955f,6,1,success,96.110.5.142,14,14,14,Jacksonville,United States,US,USA,Washington,Florida,FL,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,66.208.233.242,b1a1540f-3661-4ce8-a90d-7bd8cc28955f,6,2,success,96.110.5.142,13,14,14,Jacksonville,United States,US,USA,Washington,Florida,FL,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,66.208.233.242,b1a1540f-3661-4ce8-a90d-7bd8cc28955f,6,3,success,96.110.5.142,14,14,14,Jacksonville,United States,US,USA,Washington,Florida,FL,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,66.208.233.242,b1a1540f-3661-4ce8-a90d-7bd8cc28955f,7,1,success,96.110.45.77,18,16,15,Chicago,United States,US,USA,Washington,Illinois,IL,,,America/Chicago,-0500,AS7922,COMCAST-7922
10.1.10.58,66.208.233.242,b1a1540f-3661-4ce8-a90d-7bd8cc28955f,7,2,success,96.110.45.73,14,16,15,Chicago,United States,US,USA,Washington,Illinois,IL,,,America/Chicago,-0500,AS7922,COMCAST-7922
10.1.10.58,66.208.233.242,b1a1540f-3661-4ce8-a90d-7bd8cc28955f,7,3,success,96.110.45.73,15,16,15,Chicago,United States,US,USA,Washington,Illinois,IL,,,America/Chicago,-0500,AS7922,COMCAST-7922
10.1.10.58,66.208.233.242,b1a1540f-3661-4ce8-a90d-7bd8cc28955f,8,1,success,96.110.33.158,16,15,16,Los Angeles,United States,US,USA,Washington,California,CA,,,America/Los_Angeles,-0700,AS7922,COMCAST-7922
